"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Chakraborty S.; Mendro N.; Li L.","Chakraborty, Sameer (60428595500); Mendro, Nicholas (60428989800); Li, Longxi (57224324432)","60428595500; 60428989800; 57224324432","Leveraging Student-Athlete Mental Health Through an AI-Augmented Mobile Platform: The ThriveNudge Study Protocol","2026","Behavioral Sciences","16","2","268","","","0","10.3390/bs16020268","https://www.scopus.com/pages/publications/105031491985?origin=resultslist","Playing sports remains one of the most common avenues for youth engagement in physical activity. Yet mental health challenges, such as performance anxiety, depressive symptoms, reduced motivation, and burnout, place many young athletes at risk. As key mediators of sport participation, coaches’ roles are often underscored in recognizing shifts in athlete motivation, behavior, or well-being. Gaining better insight into athlete mental health status may enable coaches to provide timely support and strengthen athlete and team well-being. In this study protocol, we employ a mixed-methods design, evaluating the effectiveness of an AI-augmented mobile application (i.e., ThriveNudge) in promoting the mental health of youth athletes. ThriveNudge helps coaches monitor athlete mental health, flag mood disruptions, and practice supportive communication via simulated chats. A target sample of four interscholastic teams (with athletes aged 14–18 years) and their head coaches will be recruited. Teams will be cluster-randomized to either the intervention condition (n = 2), receiving pre-season training to implement ThriveNudge, or to a waitlist control condition (n = 2). Primary outcomes, including athlete burnout, motivation, coach–athlete relationships, and sport enjoyment, will be measured using psychometric scales administered online. Semi-structured interviews will be conducted with coaches and athletes in the experimental group to collect qualitative data on user interface and user experience. We hypothesize that teams using ThriveNudge will report lower athlete anxiety and burnout, higher intrinsic motivation and enjoyment, and stronger coach–athlete relationships than athletes in control teams. We aim to provide a scalable and accessible digital platform that safeguards youth mental health. © 2026 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031491985"
"Wang Y.; Lv M.; Huang R.; Zhang J.; Huang X.; Yu Y.; Luo M.; Duan Z.; Luo W.","Wang, Yuanyi (60388886800); Lv, Mingxuan (60388189500); Huang, Rong (60389031200); Zhang, Jinyan (60388468000); Huang, Xinfang (60388886900); Yu, Yidi (60388050800); Luo, Man (57359297400); Duan, Zhizhou (60388189600); Luo, Wenqun (58879779300)","60388886800; 60388189500; 60389031200; 60388468000; 60388886900; 60388050800; 57359297400; 60388189600; 58879779300","Mediation role of artificial intelligence exposure in adverse childhood experiences: related mental health risks among college students","2026","Scientific Reports","16","1","6278","","","0","10.1038/s41598-026-37352-x","https://www.scopus.com/pages/publications/105030089101?origin=resultslist","Adverse childhood experiences (ACEs) pose significant mental health risks, and the greater the number of ACEs one has, the more pronounced the subsequent mental health issues become. In today’s world, the widespread application of artificial intelligence raises questions about its role in mediating the impact of ACEs on mental health, which remains unclear. Data were collected through questionnaire surveys from April to May 2025. Participants’ psychosocial characteristics were assessed using validated scales measuring stress, anxiety, depression, ACEs status, loneliness, sleep quality, and suicidal ideation. Data analysis incorporated propensity score matching and causal mediation analysis. Among participants, 794 (29%) reported ACE exposure. ACEs significantly impact loneliness, stress, anxiety, suicidal ideation, and depressive symptoms, with mediation of AI usage. Specifically, the total effect on loneliness is 0.24 (95% CI 0.18–0.31; P < 0.001), with a mediating effect proportion of 5.2%; the total effect on stress is 0.71 (95% CI 0.56–0.88; P < 0.001), with a mediating effect proportion of 4.4%; the total effect on anxiety symptoms is 0.65 (95% CI 0.51–0.81; P < 0.001), with a mediating effect proportion of 4.9%; the total effect on suicidal ideation is 0.07 (95% CI 0.06–0.09; P < 0.001), with a mediating effect proportion of 2.6%; and the total effect on depressive symptoms is 0.60 (95% CI 0.46–0.76; P < 0.001), with a mediating effect proportion of 5.4%. Findings highlight the critical mediating role of social AI in mental health outcomes among ACE-affected individuals. © The Author(s) 2026.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030089101"
"McInally W.; Marston H.R.","McInally, Wendy (8543794900); Marston, Hannah R. (55204375400)","8543794900; 55204375400","Artificial Intelligence in Adolescent and Young Adult Cancer Care: A Discussion Paper","2026","Seminars in Oncology Nursing","42","1","152091","","","0","10.1016/j.soncn.2025.152091","https://www.scopus.com/pages/publications/105028659570?origin=resultslist","Purpose: The number of adolescents and young adults (AYAs) with cancer has increased over the past 30 years. Fundamental to this process has been the combined contribution from nursing and other health care professionals. Methods: The authors discuss artificial intelligence (AI) and digital technologies to support the care of AYAs with cancer in the United Kingdom. Two innovative projects are highlighted: (1) the development of a living lab and (2) a virtual clinical placement for undergraduate nursing students, currently being undertaken through higher education institutions and a cancer association in the United Kingdom that will embrace AI and digital technologies for the care delivery for young people with cancer. Results: Evidence suggests AYAs with cancer face specific vulnerability in the social domain; fragile employment, finance, delayed education, and lost personal relationships remain a substantial problem. To combat these social inequalities, case 1 specifically focuses on these social aspects to build a community and combat the challenges and barriers experienced. Case 2 addresses the challenges of ensuring undergraduate nurses have exposure to AYAs with cancer to encourage more qualified nurses to have an interest in this area of care and seek a professional career within this specialty moving forward. Conclusions: The discourse presented here sets the foundations for future (applied) research, ensuring that future practitioners and educators are equipped with the skills and knowledge pertaining to the integration and use of AI and eHealth technologies in the clinical environment.Implications for Nursing Practice: This discussion paper presents two examples of the use of AI and technologies in AYA cancer care for nurses and other health care professionals. These examples are from work that is currently being developed and rolled out throughout the United Kingdom. © 2025 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028659570"
"Erdemir N.; Atik S.","Erdemir, Nuri (59928270600); Atik, Servet (57219164062)","59928270600; 57219164062","Validity and Reliability Analysis of the Artificial Intelligence–Digital Life Balance Scale","2026","Psychiatric Quarterly","97","1","","1","21","7","10.1007/s11126-025-10167-1","https://www.scopus.com/pages/publications/105007244550?origin=resultslist","This study aimed to develop and validate the Artificial Intelligence - Digital Life Balance Scale (AI-DLBS), a psychometric tool designed to assess the multidimensional impact of digital technologies and artificial intelligence (AI) on individuals’ psychological, social, physical, and academic well-being. Utilizing ChatGPT-4, a novel AI-driven approach, the 40-item scale was constructed to measure five key dimensions: frequency and duration of digital device use, psychological and social effects, physical health impacts, academic performance, and technology access and dependency. Data were collected from three independent samples of university students in Turkey (N = 773, N = 325, N = 86) using convenience sampling. Exploratory and confirmatory factor analyses revealed a six-factor structure, explaining 60.83% of the variance, with acceptable model fit indices (e.g., RMSEA = 0.06, CFI = 0.90). The scale demonstrated strong internal consistency (Cronbach’s α = 0.68-0.87) and test-retest reliability. The AI-DLBS offers significant potential for psychiatric research and clinical practice, enabling mental health professionals to evaluate technology-related risks, such as anxiety, social isolation, and dependency, and design targeted interventions, including digital detox programs. The innovative use of AI in scale development highlights both its efficiency and ethical challenges, such as data bias risks. Findings suggest the AI-DLBS is a reliable and valid tool for assessing digital life balance, with implications for global mental health research and policy-making. Future studies should validate the scale across diverse populations and cultural contexts. © The Author(s) 2025.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007244550"
"ElBarazi A.S.; Mohamed H.; Nasser R.","ElBarazi, Amani Safwat (57680150200); Mohamed, Hatem (60624705800); Nasser, Ramzi (6701614843)","57680150200; 60624705800; 6701614843","Exploring Students’ Perceptions and Usage of Artificial Intelligence in Supporting Mental Health: A Preliminary Study in Higher Education in Qatar","2026","Healthcare (Switzerland)","14","9","1247","","","0","10.3390/healthcare14091247","https://www.scopus.com/pages/publications/105038402296?origin=resultslist","Background: Artificial intelligence (AI) is widely used in mental health care for screening, monitoring, and intervention. Notably, most studies of AI in mental health have been performed in Western contexts, with limited evidence from the Arab Gulf region, where cultural factors such as stigma, privacy, and help-seeking norms may influence acceptance. Objective: Investigating university students’ perceptions of AI in mental health support, including awareness, trust, readiness, and preferences in a Gulf context. Methods: A cross-sectional survey was administered to 220 university students in Qatar. Data were analyzed using descriptive statistics, Chi-square tests, and one-way ANOVA to explore associations and group differences. Results: Students showed low-to-moderate levels of awareness and trust in AI-based mental health tools. The majority of participants showed that they were prepared to employ AI for stress management, but they do not prefer to replace face-to-face therapy, suggesting a preference for complementary use. A significant association was found between readiness and expectations (p < 0.00001), which means ambivalence toward AI effectiveness. No significant differences were observed across gender or academic level (p > 0.05). Key concerns included loss of human interaction, overreliance on technology, and diagnostic accuracy, while perceived benefits included cost reduction and 24/7 accessibility. Conclusions: Students exhibit cautious adoption of AI in mental health services. Acceptance is influenced by trust, privacy issues, and apparent compassion. AI is optimally situated as a supplementary instrument within ethically regulated, culturally attuned hybrid care frameworks that maintain the fundamental importance of human connection. © 2026 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105038402296"
"Xu C.; Pan H.; Huang X.; Liu J.; Bao Y.; Song X.; Fang L.","Xu, Chenchen (58714523800); Pan, Hongxu (60093637200); Huang, Xi (60574441700); Liu, Jing (60574041200); Bao, Yining (60574363600); Song, Xuejin (60093163400); Fang, Liang (60573955900)","58714523800; 60093637200; 60574441700; 60574041200; 60574363600; 60093163400; 60573955900","Pathways from AI-assisted learning experience to psychological resilience: The role of stress perception in medical students","2026","Acta Psychologica","265","","106658","","","1","10.1016/j.actpsy.2026.106658","https://www.scopus.com/pages/publications/105035507455?origin=resultslist","This study investigated the incidence of stressors and psychological resilience among medical students within the framework of AI-assisted (artificial intelligence-assisted) learning, with the objective of informing evidence-based treatments for the enhancement of resilience. A cross-sectional study utilizing random sampling was performed among 994 medical students from three medical colleges in East China in 2025.The data were analyzed utilizing SPSS version 27.0.The findings indicated that the psychological resilience ratings of medical students were markedly inferior to the national youth average. Resilience had a positive correlation with the utilization of AI applications and a negative correlation with various stressors, demonstrating differing magnitudes and directions of influence. The academic year, academic ranking, family income, only-child status, and gender significantly influenced the outcomes. Path analysis indicated that stress perception partially moderated the association between AI-assisted learning and resilience. These findings offer new empirical data regarding the pathways connecting AI-assisted learning experiences to psychological resilience and underscore the varying impacts of different stressors and individual backgrounds. The study provides practical insights for creating stress-categorization management systems and enhancing intelligent technology applications to promote mental health in medical education. © 2026 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC license. http://creativecommons.org/licenses/by-nc/4.0/","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035507455"
"Isaiah U.S.; Naibo A.T.; Ugondo M.T.; Ogwuche S.; Iziengbuwa S.J.; Abiama E.E.; Ineme M.E.","Isaiah, Uwemedimo S. (57431763500); Naibo, Abraham T. (59983407200); Ugondo, Michael T. (60554597600); Ogwuche, Samson (58895092300); Iziengbuwa, Sandra J. (60554267800); Abiama, Emmanuel E. (57191032830); Ineme, Mfon E. (37020137400)","57431763500; 59983407200; 60554597600; 58895092300; 60554267800; 57191032830; 37020137400","The role of AI companions in supporting adaptive emotion regulation among university students with social anxiety","2026","Discover Mental Health","6","1","53","","","0","10.1007/s44192-026-00387-7","https://www.scopus.com/pages/publications/105034623780?origin=resultslist","Social anxiety is a prevalent psychological challenge among university students, often impairing interpersonal relationships, academic engagement, and overall well-being. Emotion regulation strategies are critical in managing these challenges. With the rise of artificial intelligence (AI)-based companions, there is increasing interest in their potential role in promoting adaptive emotion regulation and offering non-judgmental support to socially anxious individuals. However, limited evidence exists on how students experience AI companions in relation to their emotional needs. This study therefore examined whether AI companions support adaptive emotion regulation among university students experiencing social anxiety. Using a hermeneutic phenomenological approach, responses were obtained from 20 university students aged 18–24 years who self-identified as experiencing social anxiety. Data were gathered through semi-structured interviews, and participants’ experiences were analyzed using content analysis to identify common themes. The findings were summarized under four themes: (a) Safe Spaces for Silent Struggles, (b) Emotional Relief and Coping (c) Stigma and the Appeal of Nonjudgmental AI, and (d) Withdrawal and Reliance on Technology. While students reported that AI companions provided a safe outlet for self-expression and helped regulate anxiety in triggering situations, they also expressed concerns about authenticity, overdependence, and lack of human warmth. The study highlights both the promise and limitations of AI companions in supporting adaptive emotion regulation among socially anxious students. A multi-stakeholder effort involving psychologists, educators, and AI developers is recommended to optimize the use of AI companions for mental health support in university settings. © The Author(s) 2026.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034623780"
"Hanci N.; Gok Metin Z.","Hanci, Necip (60371141300); Gok Metin, Zehra (57188824589)","60371141300; 57188824589","A structural equation modeling based on the conservation of resources theory: Analyzing the relations between artificial intelligence attitude, employability, and career stress in nursing students","2026","Nurse Education Today","162","","107078","","","0","10.1016/j.nedt.2026.107078","https://www.scopus.com/pages/publications/105032997091?origin=resultslist","Background: The rapid rise of artificial intelligence (AI) in healthcare is reshaping nursing education and practice. There is no research examining the structural relationships between attitudes toward AI, perceived future employability, and career stress among nursing students, representatives of the healthcare sector. Aim: To examine the associations among AI attitude, perceived future employability, and career stress in nursing students, based on the Conservation of Resources (COR) theory. Design: A descriptive-correlational study. Settings: The study was conducted at the nursing faculties of two universities in Türkiye. Participants: The study involved 521 third- and fourth-year undergraduate nursing students. Methods: Data were collected through face-to-face interviews using the Student Information Form, the General Attitudes Towards Artificial Intelligence Scale (GAAIS), the Perceived Future Employability Scale (PFES), and the Career Stress Scale (CSS). Structural equation modeling with bootstrapped indirect effects was used to test the hypothesized associations. Composite scores of validated scales were used, and the analysis was performed as a structural model with observed variables. Results: Mean scores indicated high positive AI attitudes (X = 3.63, SD = 0.61) and low negative AI attitudes (X = 2.90, SD = 0.70). Perceived future employability was moderate (X = 109.86, SD = 17.99), and career stress was also moderate (X = 50.23, SD = 17.57). Correlation analysis showed positive associations between positive attitudes toward AI and perceived future employability (r = 0.332, p < .001), and negative associations between negative attitudes toward AI and perceived future employability (r = −0.188, p < .001). Perceived future employability was negatively associated with career stress (r = −0.299, p < .001), while negative attitudes toward AI were positively associated with career stress (r = 0.207, p < .001). No significant correlation was observed between positive attitudes toward AI and career stress (r = 0.055, p = .207). Regression analysis indicated that positive attitudes toward AI were associated with higher perceived future employability (β = 0.88, p < .001), whereas negative attitudes were associated with lower perceived future employability (β = −0.43, p = .013). Positive attitudes did not show a significant association with career stress (β = −0.19, p = .469), while negative attitudes were positively related to career stress (β = 1.21, p = .002). In the mediating model, perceived future employability was associated with a positive indirect effect (β = 0.05, 95% CI = 0.02; 0.09) on the relationship between negative attitudes toward AI and career stress. Among PFES subdimensions, the indirect effect was significant through the Perceived Future Personal Traits subdimension (β = 0.04, 95% CI = 0.01; 0.07), while other subdimensions were not significant. Together, AI attitudes and perceived future employability accounted for 14% of the variance in career stress. Conclusions: Findings were consistent with a partial mediation pattern in which perceived future employability was associated with the relationship between AI attitudes and career stress. Nursing curricula may enhance technical competence and personal traits such as confidence, adaptability, self-efficacy, and resilience, encouraging students to view AI as a valuable professional development resource. © 2026 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-105032997091"
"Zhang K.; Yang M.; Li L.","Zhang, Ke (60380429200); Yang, Meng (60379750200); Li, Liying (60380891500)","60380429200; 60379750200; 60380891500","Optimization of academic performance and mental health in college students through an AI-driven personalized physical exercise and mindfulness intervention system","2026","Scientific Reports","16","1","6024","","","0","10.1038/s41598-026-37028-6","https://www.scopus.com/pages/publications/105029800643?origin=resultslist","This research examines an artificial intelligence-driven personalized intervention system that integrates physical exercise and mindfulness practices to support academic performance and psychological wellbeing among university students in eastern China. A 16-week controlled intervention study enrolled 328 undergraduate students from three comprehensive universities, comparing three conditions: AI-personalized interventions (n = 110), standardized interventions (n = 108), and controls (n = 110). The AI system employed machine learning algorithms to analyze multidimensional student data and generate tailored recommendations. Results indicated that the AI-personalized group was associated with larger improvements across academic metrics (10.28% GPA increase, 95% CI [8.94, 11.62], d = 0.89, p < 0.001), psychological parameters (36.7% stress reduction, 95% CI [33.2, 40.1], d = 1.42, p < 0.001), and physiological indicators (28.4% HRV improvement, 95% CI [24.8, 32.0], d = 1.13, p < 0.001) compared to standardized interventions and controls. Regression analysis identified intervention adherence, sleep quality improvement, and stress reduction as factors associated with outcomes. The hybrid neural network architecture combining student feature analysis, exercise matching, and mindfulness adaptation offers a framework for personalized health interventions in academic settings. These findings, while promising, are specific to Chinese university contexts with particular cultural and technological characteristics, and cross-cultural validation remains necessary before broader generalization. © The Author(s) 2026.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029800643"
"El-Ashry A.M.; Hermis A.H.; Al-Salih S.S.H.; Al-Jabri M.M.; Karim N.A.H.A.; Mohamed H.A.A.; Alkubati S.A.; AlOtaibi N.G.; Wahab M.J.; Hassan A.A.-H.; Mukhlif H.A.; Ahmed W.E.Z.; Tawfik A.F.; Habib F.; Machaly E.R.","El-Ashry, Ayman Mohamed (60627007600); Hermis, Alaa Hamza (57904709000); Al-Salih, Sadiq Salam H. (57980835700); Al-Jabri, Mohammed Musaed (58634903700); Karim, Nashwa Ahmed Hussein Abdel (58064614700); Mohamed, Hamdya Ahmed Ali (60369665900); Alkubati, Sameer A. (55308908100); AlOtaibi, Nora Ghalib (58190166900); Wahab, Mohammed Jameel (60337235400); Hassan, Abbas Abdul-Hussein (60214789100); Mukhlif, Hawraa Ali (58309133800); Ahmed, Walaa Eid Zaki (60370069400); Tawfik, Ahmed Farghaly (59030930000); Habib, Farida (7103303418); Machaly, Eslam Reda (59316931700)","60627007600; 57904709000; 57980835700; 58634903700; 58064614700; 60369665900; 55308908100; 58190166900; 60337235400; 60214789100; 58309133800; 60370069400; 59030930000; 7103303418; 59316931700","Attitudes toward artificial intelligence and impostor phenomenon among nursing students: A five-country cross-sectional study","2026","Nurse Education Today","161","","107011","","","3","10.1016/j.nedt.2026.107011","https://www.scopus.com/pages/publications/105029271727?origin=resultslist","Background: AI tools are increasingly visible in nursing education and practice, yet student exposure and acceptance vary across settings. Limited digital literacy and technology anxiety may contribute to impostor syndrome (IS) in academic and clinical environments. Objective: To assess and compare attitudes toward AI and the prevalence of IS among nursing students in five countries (Iraq, Egypt, Saudi Arabia, Jordan, and the UAE) and to examine their association. Methods: Cross-sectional, descriptive–correlational survey of 1772 undergraduate nursing students from Iraq, Egypt, Saudi Arabia, Jordan, and the UAE (convenience sampling). Instruments were the General Attitudes toward AI Scale (20 items, Positive/Negative subscales) and the Clance Impostor Phenomenon Scale (CIPS; 20 items), plus demographics and technology-related variables (AI information sources, application type, prior training, and AI confidence). Group differences used t-tests/ANOVA with post-hoc tests; associations used Pearson correlations and multivariable linear regression with country fixed effects and robust SEs. Results: Attitudes toward AI and IS differed by country, academic level, work status, information source, application used, and AI confidence (all p <. 001). Iraqi students reported the most favorable AI attitudes; Egyptian and Iraqi students showed higher CIPS scores in bivariate analyses. First-year and younger students had higher IS. AI attitudes correlated negatively with IS (r = −0.206, p <. 001). In regression, greater AI confidence and academic level predicted higher AI attitudes, whereas higher AI attitudes, upper academic levels, and AI training predicted lower IS. Conclusions: More favorable attitudes toward AI were associated with lower impostor feelings. Context-appropriate AI education (paired with ethics/academic-integrity guidance) and targeted psychological support may foster technological readiness and mitigate impostor experiences. Implications: Integrate structured AI literacy (where permitted), ensure equitable digital access, and provide mentorship and mental-health support—especially for early-year students. © 2026 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-105029271727"
